Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
G,4,4,8192,zmq-4,0.235,10647,43185,zmq,tcp
G,3,4,8192,zmq-4,0.232,10647,43767,zmq,tcp
G,3,4,8192,zmq-4,0.225,10647,45122,zmq,tcp
G,1,4,8192,zmq-4,0.226,10647,44996,zmq,tcp
G,4,4,8192,zmq-4,0.245,10647,41484,zmq,tcp
G,3,4,8192,zmq-4,0.235,10647,43127,zmq,tcp
G,2,4,8192,zmq-4,0.243,10647,41830,zmq,tcp
G,1,4,8192,zmq-4,0.237,10647,42819,zmq,tcp
G,1,4,8192,zmq-4,0.239,10647,42549,zmq,tcp
G,3,8,8192,zmq-4,0.279,10647,36419,zmq,tcp
G,4,8,8192,zmq-4,0.254,10647,39977,zmq,tcp
G,2,8,8192,zmq-4,0.235,10647,43249,zmq,tcp
G,1,8,8192,zmq-4,0.243,10647,41846,zmq,tcp
G,2,8,8192,zmq-4,0.243,10647,41869,zmq,tcp
G,1,8,8192,zmq-4,0.245,10647,41420,zmq,tcp
G,2,8,8192,zmq-4,0.246,10647,41346,zmq,tcp
G,2,8,8192,zmq-4,0.223,10647,45533,zmq,tcp
G,2,8,8192,zmq-4,0.222,10647,45697,zmq,tcp
G,2,8,8192,zmq-4,0.218,10707,46857,zmq,tcp
G,4,16,8192,zmq-4,0.333,12257,35104,zmq,tcp
G,2,16,8192,zmq-4,0.290,12285,40463,zmq,tcp
G,2,16,8192,zmq-4,0.278,12285,42161,zmq,tcp
G,4,16,8192,zmq-4,0.261,12285,44943,zmq,tcp
G,2,16,8192,zmq-4,0.259,12285,45202,zmq,tcp
G,1,16,8192,zmq-4,0.276,12285,42482,zmq,tcp
G,1,16,8192,zmq-4,0.276,12285,42420,zmq,tcp
G,4,16,8192,zmq-4,0.289,12285,40554,zmq,tcp
G,3,16,8192,zmq-4,0.285,12285,41138,zmq,tcp
G,4,16,8192,zmq-4,0.323,12813,37837,zmq,tcp
G,4,32,8192,zmq-4,0.828,25245,29083,zmq,tcp
G,3,32,8192,zmq-4,0.662,25389,36589,zmq,tcp
G,1,32,8192,zmq-4,0.666,25389,36354,zmq,tcp
G,2,32,8192,zmq-4,0.728,25389,33274,zmq,tcp
G,1,32,8192,zmq-4,0.711,25389,34066,zmq,tcp
G,3,32,8192,zmq-4,0.727,25389,33321,zmq,tcp
G,3,32,8192,zmq-4,0.718,25389,33713,zmq,tcp
G,2,32,8192,zmq-4,0.702,25389,34500,zmq,tcp
G,1,32,8192,zmq-4,0.714,25389,33890,zmq,tcp
G,4,32,8192,zmq-4,0.747,26637,33996,zmq,tcp
G,3,64,8192,zmq-4,1.823,51373,26872,zmq,tcp
G,2,64,8192,zmq-4,1.709,51597,28788,zmq,tcp
G,4,64,8192,zmq-4,1.667,51597,29514,zmq,tcp
G,4,64,8192,zmq-4,1.632,51597,30148,zmq,tcp
G,3,64,8192,zmq-4,1.662,51597,29602,zmq,tcp
G,2,64,8192,zmq-4,1.668,51597,29495,zmq,tcp
G,3,64,8192,zmq-4,1.755,51597,28041,zmq,tcp
G,1,64,8192,zmq-4,1.721,51597,28591,zmq,tcp
G,1,64,8192,zmq-4,1.733,51597,28401,zmq,tcp
G,4,64,8192,zmq-4,1.908,54413,27198,zmq,tcp
G,2,128,8192,zmq-4,4.309,103757,22962,zmq,tcp
G,4,128,8192,zmq-4,3.789,104013,26181,zmq,tcp
G,2,128,8192,zmq-4,3.528,104013,28114,zmq,tcp
G,2,128,8192,zmq-4,3.543,104013,27997,zmq,tcp
G,2,128,8192,zmq-4,3.372,104013,29421,zmq,tcp
G,2,128,8192,zmq-4,3.463,104013,28642,zmq,tcp
G,2,128,8192,zmq-4,3.548,104013,27961,zmq,tcp
G,2,128,8192,zmq-4,3.484,104013,28473,zmq,tcp
G,1,128,8192,zmq-4,3.609,104013,27485,zmq,tcp
G,2,128,8192,zmq-4,3.738,110669,28232,zmq,tcp
G,2,256,8192,zmq-4,8.617,208333,23058,zmq,tcp
G,3,256,8192,zmq-4,7.584,208845,26262,zmq,tcp
G,1,256,8192,zmq-4,7.232,208845,27542,zmq,tcp
G,2,256,8192,zmq-4,7.283,208845,27348,zmq,tcp
G,2,256,8192,zmq-4,7.234,208845,27534,zmq,tcp
G,2,256,8192,zmq-4,7.379,208845,26992,zmq,tcp
G,2,256,8192,zmq-4,7.201,208845,27658,zmq,tcp
G,2,256,8192,zmq-4,7.332,208845,27164,zmq,tcp
